Fleetio ID,Vehicle Name,Date,Meter Type,Meter Value,Meter Unit,Void,Auto Void Reason,Meter Source,Created On (Pacific Time (US & Canada)),Updated On (Pacific Time (US & Canada)),Vehicle Group,Vehicle Year,Vehicle Make,Vehicle Model,Vehicle Trim,Vehicle Type,Vehicle Status,Vehicle VIN/SN,Date Rental Rates Updated,Rental Rate Description,Hourly Rental Rate,Daily Rental Rate,Weekly Rental Rate,Monthly Rental Rate,Drain Plug Size,Napa Oil Filter (capacity),Napa Fuel Filter,NAPA Air Filter (Outer),NAPA Air Filter (Inner),NAPA Fuel/Water Separator,NAPA Coolant Filter,NAPA Hydraulic Filter,NAPA Transmission Filter,NAPA Fan Belt,NAPA AC Belt,Antifreeze,Cost to Replace,Sold Price,Sold Date
1287400464,ST4,06/30/2026,Primary,155786.0,mi,FALSE,,Work Order #114,07/06/2026 02:10:04 PM,07/06/2026 02:10:04 PM,Fleet,2017,Ford,F-450 Super Duty,,Service Truck,Active,1FD0W4HT2HED69098,,"",$102.00,$415.00,"$1,680.00","$5,032.00","","","","","","","","","","","","","","",
1287400463,ST4,06/30/2026,Primary,155786.0,mi,FALSE,,Work Order #114,06/30/2026 07:21:27 AM,06/30/2026 07:21:27 AM,Fleet,2017,Ford,F-450 Super Duty,,Service Truck,Active,1FD0W4HT2HED69098,,"",$102.00,$415.00,"$1,680.00","$5,032.00","","","","","","","","","","","","","","",
1274055493,BL5,06/29/2026,Primary,1604.0,hr,FALSE,,Work Order #112,06/18/2026 01:45:50 PM,06/18/2026 01:45:50 PM,,2014,JLG,450AJ,,Articulated Boom Lift,In Shop,300194724,,"",$90.00,$495.00,"$1,520.00","$3,128.00","",1342,3943,"","","","","","","","","","","",
1283138788,ME9,06/26/2026,Primary,578.0,hr,FALSE,,Manual,06/26/2026 06:32:32 AM,06/26/2026 06:32:32 AM,,2025,Caterpillar,304CRCB,,Mini Excavator,Active,AN406574,,"","","","","","","","","","","","","","","","","","","",
1283138282,WL3,06/26/2026,Primary,12727.0,hr,FALSE,,Manual,06/26/2026 06:31:02 AM,06/26/2026 06:31:02 AM,,2008,John Deere,544J,,Wheel Loader,Active,DW544JZ619585,,"",$187.00,$748.00,"$3,019.00","$8,738.00","",7750S,"3248, 3977, 3978",600104,"","","","","","","","","","",
1283135566,FL5,06/26/2026,Primary,8199.0,hr,FALSE,,Manual,06/26/2026 06:26:45 AM,06/26/2026 06:26:45 AM,,2013,JLG,G12-55A,,Forklift,Active,160048663,,"",$96.00,$550.00,"$1,536.00","$5,376.00","",7182,Fleetguard FF 63009,AF55021,AF55312,"","","","","","","","","",
1283129800,ME7,06/26/2026,Primary,5261.0,hr,FALSE,,Manual,06/26/2026 06:19:27 AM,06/26/2026 06:19:27 AM,,2018,Caterpillar,305E2 CRCB,,Mini Excavator,Active,0H5M07082,,"",$102.00,$415.00,"$1,680.00","$5,032.00","","",600586 / CAT 363-5819 Incline,9462,9463 / CAT 415-2593,"","","","","","","","","",
1283123469,EX12,06/26/2026,Primary,5452.0,hr,FALSE,,Manual,06/26/2026 06:02:38 AM,06/26/2026 06:02:38 AM,,2016,Caterpillar,325FL CR,,Excavator,Active,CAT0325FEXAA00419,,"","","","","","","","","","","","","","","","","","","",
1283123323,ME5,06/26/2026,Primary,6227.0,hr,FALSE,,Manual,06/26/2026 06:02:16 AM,06/26/2026 06:02:16 AM,,2018,Caterpillar,308E2 CRCB,,Mini Excavator,Active,0FJX10204,,"",$102.00,$415.00,"$1,680.00","$5,032.00","","",9462,9463 / CAT 415-2593,"","","","","","","","","","",
1274980574,DT1,06/19/2026,Primary,331729.0,mi,FALSE,,Service Entry #50297014,06/19/2026 08:21:06 AM,06/19/2026 08:21:06 AM,Fleet,2007,Kenworth,W900,,Dump Truck,Active,1NKWXB0X07R159782,,"",$131.00,$525.00,"$2,090.00","$5,940.00","",1792 - 9 Gal,3412 & 3674,"","","",4070,"","","","","","","",
